GEOID,pop_50plus
250092066002,406.0
250092066003,537.0
250092066004,369.0
250092067001,123.0
250092067002,562.0
250092067003,159.0
250092067004,385.0
250092068001,217.0
250092068002,897.0
250092069001,797.0
250092069002,227.0
250092069003,570.0
250092069004,311.0
250092070001,713.0
250092070002,187.0
250092071001,349.0
250092071002,180.0
250092071003,248.0
250092072001,240.0
250092072002,432.0
250092081011,331.0
250092081012,497.0
250092081013,345.0
250092081014,454.0
250092081021,234.0
250092081022,549.0
250092081023,153.0
250092081024,348.0
250092082001,412.0
250092082002,187.0
250092082003,1341.0
250092082004,507.0
250092083011,720.0
250092083012,511.0
250092083021,403.0
250092083022,851.0
250092083023,423.0
250092084011,538.0
250092084012,670.0
250092084021,371.0
250092084022,666.0
250092091001,464.0
250092091002,136.0
250092091003,378.0
250092091004,445.0
250092091005,667.0
250092092001,307.0
250092092002,529.0
250092092003,420.0
250092092004,609.0
250092101001,1182.0
250092101002,518.0
250092101003,580.0
250092101004,610.0
250092102001,942.0
250092102002,725.0
250092102003,999.0
250092103011,2054.0
250092103012,1296.0
250092103021,363.0
250092103022,814.0
250092103023,0.0
250092103024,557.0
250092104011,696.0
250092104012,375.0
250092104021,899.0
250092104022,553.0
250092105001,422.0
250092105002,928.0
250092105003,850.0
250092105004,537.0
250092106001,567.0
250092106002,800.0
250092107001,240.0
250092107002,176.0
250092107003,310.0
250092107004,150.0
250092108001,150.0
250092108002,352.0
250092108003,700.0
250092108004,469.0
250092109001,567.0
250092109002,392.0
250092109003,628.0
250092111001,510.0
250092111002,510.0
250092111003,746.0
250092112011,215.0
250092112012,489.0
250092112021,540.0
250092112022,847.0
250092113001,965.0
250092113002,504.0
250092113003,1017.0
250092113004,715.0
250092114011,625.0
250092114012,562.0
250092114013,208.0
250092114021,814.0
250092114022,435.0
250092114023,751.0
250092114024,389.0
250092121011,544.0
250092121012,475.0
250092121013,475.0
250092121021,993.0
250092121022,768.0
250092131001,504.0
250092131002,403.0
250092131003,740.0
250092131004,564.0
250092131005,834.0
250092141001,533.0
250092141002,699.0
250092141003,723.0
250092141004,360.0
250092151011,852.0
250092151012,245.0
250092151013,405.0
250092151014,165.0
250092151021,320.0
250092151022,243.0
250092151023,209.0
250092151024,165.0
250092161001,296.0
250092161002,433.0
250092161003,403.0
250092171011,689.0
250092171012,555.0
250092171021,405.0
250092171022,735.0
250092172011,378.0
250092172012,1105.0
250092172021,329.0
250092172022,464.0
250092172023,344.0
250092172024,392.0
250092173001,160.0
250092173002,279.0
250092173003,276.0
250092173004,283.0
250092173005,227.0
250092174011,114.0
250092174012,611.0
250092174013,272.0
250092174021,161.0
250092174022,382.0
250092174023,578.0
